Row #,Category,Filename,Chart Title,SNIPPET,Timeframe,Status,NOTES,Dashboard Location,Update Frequency
1,WHEATS,WHEAT_SRW_BOR_D.png,Box-o-Rox Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SRW_BOR_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,THE signal. SRW price vs 60MA – drives the sell/suspend decision for every tranche.,Top,Daily
2,WHEATS,WHEAT_SRW_30M.png,Chicago SRW 30-Minute,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SRW_30M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",30-Min,Published,Short-term price structure. Session momentum and intraday support/resistance.,Top,Live/Daily
3,WHEATS,WHEAT_SRW_D.png,Chicago SRW Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SRW_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,"Primary chart. Trend direction, moving averages, and daily close relative to BoR triggers.",Top,Daily
4,WHEATS,WHEAT_SRW_W.png,Chicago SRW Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SRW_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Intermediate trend. Key for timing scale-in sales and identifying seasonal turning points.,Top,Weekly
5,WHEATS,WHEAT_SRW_M.png,Chicago SRW Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SRW_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,"Seasonal patterns and longer-term support/resistance levels. Context for annual marketing plan.",Top,Monthly
6,WHEATS,WHEAT_SRW_Special_M.png,Chicago SRW Monthly (Annotated),"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SRW_Special_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,"Longer-term pattern identification – head-and-shoulders, channels, multi-year formations.",Top,Monthly
7,WHEATS,WHEAT_SRW_A.png,Chicago SRW Annual,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SRW_A.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Annual,Published,"The 50+ year view. Inflation-adjusted context, generational price cycles, and macro perspective.",Top,Annually
8,WHEATS,WHEAT_HRW_D.png,Kansas City HRW Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_HRW_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,In Development,HRW daily trend. Plains wheat quality premiums and basis implications for HRW producers.,Top,Daily
9,WHEATS,WHEAT_HRW_W.png,Kansas City HRW Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_HRW_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Intermediate HRW trend. Relative strength vs SRW signals class rotation.,Top,Weekly
10,WHEATS,WHEAT_HRW_M.png,Kansas City HRW Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_HRW_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,In Development,HRW seasonal patterns. Winter wheat planting-to-harvest cycle visible here.,Top,Monthly
11,WHEATS,WHEAT_HRS_D.png,Minneapolis HRS Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_HRS_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,In Development,Spring wheat daily. Protein premium dynamics and northern Plains weather sensitivity.,Top,Daily
12,WHEATS,WHEAT_HRS_W.png,Minneapolis HRS Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_HRS_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,HRS intermediate trend. Spring planting window creates unique seasonal volatility.,Top,Weekly
13,WHEATS,WHEAT_HRS_M.png,Minneapolis HRS Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_HRS_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,In Development,HRS seasonal patterns. Protein premium cycles and milling demand trends.,Top,Monthly
14,WHEATS,WHEAT_FWH_D.png,Paris 11% Milling Wheat Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_FWH_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,European wheat benchmark. Black Sea export competition and EU crop conditions.,Top,Daily
15,WHEATS,WHEAT_FWH_W.png,Paris 11% Milling Wheat Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_FWH_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Global price discovery. Correlation to Chicago reveals export competitiveness shifts.,Top,Weekly
16,WHEATS,WHEAT_FWH_M.png,Paris 11% Milling Wheat Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_FWH_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,In Development,European wheat seasonal patterns. Northern hemisphere harvest overlap visible.,Top,Monthly
17,GRAINS,GRAIN_C_D.png,CBOT Corn Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/GRAIN_C_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Feed substitution and row crop bellwether.,Mid,Daily
18,GRAINS,GRAIN_C_W.png,CBOT Corn Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/GRAIN_C_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Corn intermediate trend.,Mid,Weekly
19,GRAINS,GRAIN_S_D.png,CBOT Soybeans Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/GRAIN_S_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Row crop bellwether.,Mid,Daily
20,GRAINS,GRAIN_S_W.png,CBOT Soybeans Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/GRAIN_S_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Soybean intermediate trend.,Mid,Weekly
21,SPD_INTRA,SPD_SRW_H_K.png,Chicago SRW Spread: Mar/May,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SRW_H_K.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,In Development,Near-term carry.,Mid,Daily
22,SPD_INTRA,SPD_SRW_K_N.png,Chicago SRW Spread: May/Jul,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SRW_K_N.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Pre-harvest carry signal.,Mid,Daily
23,SPD_INTRA,SPD_SRW_N_U.png,Chicago SRW Spread: Jul/Sep,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SRW_N_U.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Harvest pressure spread.,Mid,Daily
24,SPD_INTRA,SPD_SRW_U_Z.png,Chicago SRW Spread: Sep/Dec,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SRW_U_Z.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Post-harvest carry.,Mid,Daily
25,SPD_INTRA,SPD_SRW_Z_H2.png,Chicago SRW Spread: Dec/Mar+1yr,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SRW_Z_H2.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,In Development,Winter carry.,Mid,Daily
26,SPD_INTRA,SPD_HRW_H_K.png,Kansas City HRW Spread: Mar/May,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRW_H_K.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,In Development,HRW near-term carry.,Mid,Daily
27,SPD_INTRA,SPD_HRW_K_N.png,Kansas City HRW Spread: May/Jul,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRW_K_N.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,HRW pre-harvest.,Mid,Daily
28,SPD_INTRA,SPD_HRW_N_U.png,Kansas City HRW Spread: Jul/Sep,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRW_N_U.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,HRW harvest-to-fall.,Mid,Daily
29,SPD_INTRA,SPD_HRW_U_Z.png,Kansas City HRW Spread: Sep/Dec,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRW_U_Z.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,HRW fall carry.,Mid,Daily
30,SPD_INTRA,SPD_HRW_Z_H2.png,Kansas City HRW Spread: Dec/Mar+1yr,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRW_Z_H2.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,In Development,HRW winter carry.,Mid,Daily
31,SPD_INTRA,SPD_HRS_H_K.png,Minneapolis HRS Spread: Mar/May,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRS_H_K.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,In Development,HRS near-term carry.,Mid,Daily
32,SPD_INTRA,SPD_HRS_K_N.png,Minneapolis HRS Spread: May/Jul,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRS_K_N.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,HRS pre-harvest.,Mid,Daily
33,SPD_INTRA,SPD_HRS_N_U.png,Minneapolis HRS Spread: Jul/Sep,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRS_N_U.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,HRS harvest-to-fall.,Mid,Daily
34,SPD_INTRA,SPD_HRS_U_Z.png,Minneapolis HRS Spread: Sep/Dec,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRS_U_Z.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,HRS fall carry.,Mid,Daily
35,SPD_INTRA,SPD_HRS_Z_H2.png,Minneapolis HRS Spread: Dec/Mar+1yr,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HRS_Z_H2.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,In Development,HRS winter carry.,Mid,Daily
36,SPD_INTRA,SPD_FWH_H_K.png,Paris Milling Spread: Mar/May,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_FWH_H_K.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,In Development,European pre-harvest.,Mid,Daily
